ds,sample_radiation_predict
2020-01-24 00:00:00,-106.9313687458
2020-01-24 01:00:00,-105.3319042438
2020-01-24 02:00:00,-104.3320718279
2020-01-24 03:00:00,-106.5419381612
2020-01-24 04:00:00,-108.9394983924
2020-01-24 05:00:00,-99.5134122073
2020-01-24 06:00:00,-62.0057589485
2020-01-24 07:00:00,13.2082042505
2020-01-24 08:00:00,120.1476554362
2020-01-24 09:00:00,237.4254719531
2020-01-24 10:00:00,337.7700535391
2020-01-24 11:00:00,399.9376405834
2020-01-24 12:00:00,415.1831274258
2020-01-24 13:00:00,385.9703356289
2020-01-24 14:00:00,320.9402293471
2020-01-24 15:00:00,231.5472581961
2020-01-24 16:00:00,131.7705095226
2020-01-24 17:00:00,37.7857006172
2020-01-24 18:00:00,-35.6140226728
2020-01-24 19:00:00,-80.8125878733
2020-01-24 20:00:00,-100.6033648169
2020-01-24 21:00:00,-105.2685184463
2020-01-24 22:00:00,-105.2612733018
2020-01-24 23:00:00,-105.4251204225
