ds,temperature_predict
1/24/2020 0:00,1.902989756
1/24/2020 1:00,1.648870506
1/24/2020 2:00,1.39363566
1/24/2020 3:00,1.118121196
1/24/2020 4:00,0.889788072
1/24/2020 5:00,0.877428936
1/24/2020 6:00,1.277796608
1/24/2020 7:00,2.18867636
1/24/2020 8:00,3.521314155
1/24/2020 9:00,5.024965398
1/24/2020 10:00,6.409553068
1/24/2020 11:00,7.474977072
1/24/2020 12:00,8.156862946
1/24/2020 13:00,8.47557406
1/24/2020 14:00,8.456047702
1/24/2020 15:00,8.098040596
1/24/2020 16:00,7.414712554
1/24/2020 17:00,6.486170723
1/24/2020 18:00,5.462286269
1/24/2020 19:00,4.503023077
1/24/2020 20:00,3.707080177
1/24/2020 21:00,3.088526706
1/24/2020 22:00,2.611267088
1/24/2020 23:00,2.236978909
